Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Darren Collison,59,1817,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.8983050847457628,0.847457627118644,0.7796610169491526,0.5423728813559322,0.3559322033898305,0.288135593220339,0.1694915254237288,0.1694915254237288,0.2033898305084746,0.23728813559322035,0.2711864406779661,0.3559322033898305,0.423728813559322,0.6440677966101694,0.8305084745762712,0.864406779661017,0.8983050847457628,0.8813559322033898,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9322033898305084,0.8983050847457628,0.8135593220338984,0.6440677966101694,0.5932203389830508,0.4915254237288136,0.23728813559322035,0.2542372881355932,0.22033898305084745,0.2542372881355932,0.2711864406779661,0.3728813559322034,0.423728813559322,0.5423728813559322,0.6440677966101694,0.6610169491525424,0.6779661016949152,0.6610169491525424
Arron Afflalo,56,1454,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7321428571428571,0.7321428571428571,0.7142857142857143,0.6964285714285714,0.5892857142857143,0.5178571428571429,0.375,0.3392857142857143,0.26785714285714285,0.2857142857142857,0.30357142857142855,0.2857142857142857,0.375,0.4107142857142857,0.375,0.5357142857142857,0.6071428571428571,0.6428571428571429,0.625,0.6428571428571429,0.7321428571428571,0.7321428571428571,0.7321428571428571,0.7321428571428571,0.7321428571428571,0.7142857142857143,0.6785714285714286,0.5535714285714286,0.5178571428571429,0.42857142857142855,0.39285714285714285,0.32142857142857145,0.2857142857142857,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.35714285714285715,0.3392857142857143,0.35714285714285715,0.4642857142857143,0.5178571428571429,0.5178571428571429,0.48214285714285715,0.4642857142857143
Rudy Gay,30,1013,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9333333333333333,0.7666666666666667,0.5666666666666667,0.4,0.23333333333333334,0.13333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.3333333333333333,0.5,0.7333333333333333,0.8333333333333334,0.9,0.9,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8333333333333334,0.7,0.6333333333333333,0.4666666666666667,0.43333333333333335,0.4,0.26666666666666666,0.26666666666666666,0.43333333333333335,0.4666666666666667,0.5333333333333333,0.6333333333333333,0.8333333333333334,0.9,0.9,0.8,0.8,0.7666666666666667
Kosta Koufos,67,1336,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8208955223880597,0.7611940298507462,0.6865671641791045,0.4626865671641791,0.2835820895522388,0.1791044776119403,0.13432835820895522,0.208955223880597,0.23880597014925373,0.2537313432835821,0.2835820895522388,0.31343283582089554,0.34328358208955223,0.29850746268656714,0.29850746268656714,0.34328358208955223,0.417910447761194,0.40298507462686567,0.43283582089552236,0.417910447761194,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.6567164179104478,0.5970149253731343,0.4925373134328358,0.3582089552238806,0.2835820895522388,0.2537313432835821,0.23880597014925373,0.22388059701492538,0.26865671641791045,0.2835820895522388,0.31343283582089554,0.2835820895522388,0.2537313432835821,0.22388059701492538,0.208955223880597,0.16417910447761194,0.14925373134328357,0.07462686567164178,0.07462686567164178,0.13432835820895522
DeMarcus Cousins,55,1891,1.0,1.0,1.0,1.0,0.9818181818181818,0.9636363636363636,0.9454545454545454,0.8909090909090909,0.8181818181818182,0.7090909090909091,0.5454545454545454,0.4,0.01818181818181818,0.01818181818181818,0.07272727272727272,0.21818181818181817,0.2909090909090909,0.5454545454545454,0.8,0.9454545454545454,0.9636363636363636,0.9454545454545454,0.9272727272727272,0.8727272727272727,1.0,1.0,0.9818181818181818,1.0,1.0,0.9272727272727272,0.8909090909090909,0.8363636363636363,0.7818181818181819,0.6181818181818182,0.4909090909090909,0.34545454545454546,0.2909090909090909,0.2727272727272727,0.23636363636363636,0.36363636363636365,0.4727272727272727,0.6727272727272727,0.8,0.8727272727272727,0.8727272727272727,0.8545454545454545,0.8,0.7090909090909091
Ty Lawson,61,1540,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.32786885245901637,0.29508196721311475,0.22950819672131148,0.3114754098360656,0.36065573770491804,0.5081967213114754,0.6721311475409836,0.7213114754098361,0.8032786885245902,0.8032786885245902,0.8360655737704918,0.8688524590163934,0.819672131147541,0.7868852459016393,0.6885245901639344,0.5245901639344263,0.36065573770491804,0.32786885245901637,0.3442622950819672,0.3770491803278688,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.29508196721311475,0.26229508196721313,0.19672131147540983,0.22950819672131148,0.2786885245901639,0.4918032786885246,0.5573770491803278,0.6065573770491803,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7540983606557377,0.7213114754098361,0.7049180327868853,0.6229508196721312,0.5573770491803278,0.5573770491803278,0.5245901639344263,0.5901639344262295
Garrett Temple,55,1460,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.3090909090909091,0.34545454545454546,0.4,0.4,0.4909090909090909,0.6181818181818182,0.6909090909090909,0.6363636363636364,0.6909090909090909,0.6909090909090909,0.6363636363636364,0.6363636363636364,0.5818181818181818,0.5454545454545454,0.6181818181818182,0.5454545454545454,0.5636363636363636,0.5454545454545454,0.5272727272727272,0.4909090909090909,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.3090909090909091,0.32727272727272727,0.36363636363636365,0.41818181818181815,0.509090909090909,0.6181818181818182,0.6181818181818182,0.6727272727272727,0.6545454545454545,0.6727272727272727,0.6909090909090909,0.6727272727272727,0.6727272727272727,0.6909090909090909,0.6727272727272727,0.6545454545454545,0.6181818181818182,0.5818181818181818,0.6363636363636364,0.6363636363636364,0.6545454545454545
Matt Barnes,54,1367,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.25925925925925924,0.2962962962962963,0.4074074074074074,0.46296296296296297,0.5370370370370371,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7592592592592593,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.6851851851851852,0.6666666666666666,0.5555555555555556,0.3888888888888889,0.35185185185185186,0.46296296296296297,0.46296296296296297,0.5185185185185185,0.25925925925925924,0.25925925925925924,0.2777777777777778,0.2777777777777778,0.3148148148148148,0.37037037037037035,0.46296296296296297,0.5555555555555556,0.5740740740740741,0.7037037037037037,0.6851851851851852,0.7592592592592593,0.7592592592592593,0.7407407407407407,0.7037037037037037,0.7037037037037037,0.6666666666666666,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5555555555555556,0.5370370370370371,0.5185185185185185,0.5
Anthony Tolliver,55,1273,0.16363636363636364,0.16363636363636364,0.16363636363636364,0.16363636363636364,0.18181818181818182,0.18181818181818182,0.2545454545454545,0.41818181818181815,0.5272727272727272,0.6363636363636364,0.7272727272727273,0.7090909090909091,0.7818181818181819,0.7636363636363637,0.7454545454545455,0.6727272727272727,0.6,0.509090909090909,0.41818181818181815,0.41818181818181815,0.36363636363636365,0.38181818181818183,0.36363636363636365,0.38181818181818183,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.2727272727272727,0.38181818181818183,0.509090909090909,0.6,0.6727272727272727,0.6727272727272727,0.6909090909090909,0.7272727272727273,0.7636363636363637,0.7818181818181819,0.7272727272727273,0.6181818181818182,0.5818181818181818,0.509090909090909,0.45454545454545453,0.45454545454545453,0.4727272727272727,0.509090909090909,0.4727272727272727,0.45454545454545453
Willie Cauley-Stein,61,1013,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.11475409836065574,0.18032786885245902,0.19672131147540983,0.2459016393442623,0.3114754098360656,0.3770491803278688,0.4918032786885246,0.5081967213114754,0.7377049180327869,0.7213114754098361,0.6721311475409836,0.6065573770491803,0.5901639344262295,0.47540983606557374,0.3770491803278688,0.2459016393442623,0.21311475409836064,0.14754098360655737,0.13114754098360656,0.14754098360655737,0.11475409836065574,0.11475409836065574,0.13114754098360656,0.11475409836065574,0.16393442622950818,0.14754098360655737,0.16393442622950818,0.2459016393442623,0.29508196721311475,0.4262295081967213,0.5081967213114754,0.5737704918032787,0.5901639344262295,0.5737704918032787,0.5573770491803278,0.5409836065573771,0.5081967213114754,0.4262295081967213,0.3442622950819672,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.2786885245901639,0.29508196721311475
