Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Sergio Rodriguez,30,803,0.90625,0.90625,0.90625,0.90625,0.84375,0.75,0.59375,0.28125,0.09375,0.09375,0.125,0.15625,0.25,0.40625,0.53125,0.71875,0.75,0.71875,0.78125,0.75,0.625,0.4375,0.46875,0.3125,0.84375,0.84375,0.84375,0.84375,0.84375,0.625,0.375,0.28125,0.125,0.0625,0.09375,0.09375,0.25,0.3125,0.40625,0.46875,0.46875,0.53125,0.5,0.53125,0.53125,0.5,0.40625,0.46875
Gerald Henderson,29,714,0.90625,0.90625,0.90625,0.90625,0.90625,0.78125,0.4375,0.03125,0.0,0.03125,0.0625,0.0625,0.125,0.3125,0.4375,0.78125,0.875,0.84375,0.8125,0.6875,0.53125,0.34375,0.3125,0.3125,0.90625,0.90625,0.875,0.84375,0.78125,0.5625,0.21875,0.125,0.0625,0.03125,0.03125,0.0625,0.3125,0.3125,0.375,0.40625,0.40625,0.4375,0.375,0.28125,0.28125,0.34375,0.375,0.3125
Robert Covington,29,854,0.90625,0.90625,0.875,0.8125,0.75,0.65625,0.5625,0.40625,0.3125,0.1875,0.125,0.0625,0.1875,0.1875,0.3125,0.53125,0.625,0.6875,0.71875,0.65625,0.65625,0.65625,0.65625,0.53125,0.90625,0.875,0.875,0.84375,0.78125,0.75,0.625,0.5,0.28125,0.15625,0.125,0.1875,0.25,0.25,0.3125,0.4375,0.59375,0.6875,0.6875,0.625,0.59375,0.53125,0.53125,0.53125
Ersan Ilyasova,29,804,0.5,0.5,0.53125,0.53125,0.65625,0.6875,0.75,0.53125,0.5,0.34375,0.375,0.375,0.28125,0.34375,0.375,0.5,0.59375,0.6875,0.6875,0.65625,0.625,0.5625,0.5,0.53125,0.53125,0.53125,0.53125,0.59375,0.625,0.65625,0.6875,0.53125,0.4375,0.4375,0.4375,0.4375,0.3125,0.375,0.34375,0.34375,0.4375,0.53125,0.5625,0.5,0.5625,0.5625,0.5625,0.5625
Joel Embiid,22,546,0.6875,0.6875,0.65625,0.59375,0.3125,0.125,0.0,0.0625,0.15625,0.40625,0.4375,0.4375,0.28125,0.28125,0.28125,0.28125,0.375,0.40625,0.4375,0.40625,0.34375,0.15625,0.15625,0.125,0.6875,0.6875,0.6875,0.59375,0.46875,0.125,0.03125,0.03125,0.0625,0.25,0.34375,0.375,0.59375,0.5625,0.46875,0.3125,0.125,0.0625,0.125,0.34375,0.4375,0.46875,0.46875,0.40625
Nik Stauskas,30,784,0.15625,0.15625,0.15625,0.1875,0.21875,0.375,0.59375,0.90625,0.9375,0.84375,0.8125,0.8125,0.75,0.71875,0.625,0.3125,0.1875,0.1875,0.15625,0.28125,0.40625,0.5625,0.65625,0.65625,0.15625,0.1875,0.1875,0.25,0.375,0.53125,0.6875,0.84375,0.90625,0.84375,0.8125,0.8125,0.6875,0.65625,0.59375,0.5625,0.5,0.375,0.5,0.5,0.5,0.375,0.375,0.40625
Dario Saric,32,771,0.3125,0.3125,0.28125,0.28125,0.28125,0.375,0.4375,0.59375,0.59375,0.6875,0.6875,0.75,0.6875,0.65625,0.5625,0.46875,0.40625,0.25,0.28125,0.46875,0.53125,0.5625,0.5,0.5,0.3125,0.3125,0.28125,0.28125,0.28125,0.34375,0.4375,0.53125,0.625,0.65625,0.65625,0.65625,0.71875,0.625,0.6875,0.71875,0.53125,0.53125,0.46875,0.5625,0.53125,0.53125,0.5625,0.53125
T.J. McConnell,32,652,0.0625,0.0625,0.0625,0.0625,0.125,0.21875,0.3125,0.625,0.8125,0.8125,0.75,0.75,0.65625,0.53125,0.4375,0.25,0.25,0.25,0.1875,0.21875,0.3125,0.5,0.46875,0.625,0.125,0.125,0.125,0.125,0.125,0.3125,0.59375,0.625,0.78125,0.84375,0.84375,0.84375,0.6875,0.65625,0.53125,0.46875,0.5,0.4375,0.40625,0.375,0.375,0.40625,0.5,0.40625
Jahlil Okafor,27,618,0.4375,0.4375,0.4375,0.40625,0.5,0.5625,0.59375,0.53125,0.375,0.21875,0.1875,0.125,0.4375,0.46875,0.53125,0.59375,0.5,0.4375,0.3125,0.28125,0.28125,0.375,0.40625,0.375,0.4375,0.4375,0.40625,0.4375,0.4375,0.4375,0.46875,0.4375,0.3125,0.28125,0.28125,0.21875,0.28125,0.34375,0.5,0.53125,0.625,0.53125,0.4375,0.375,0.3125,0.25,0.1875,0.15625
Hollis Thompson,30,557,0.03125,0.03125,0.0625,0.0625,0.09375,0.125,0.28125,0.53125,0.65625,0.6875,0.78125,0.84375,0.75,0.65625,0.5,0.28125,0.28125,0.25,0.28125,0.25,0.28125,0.4375,0.4375,0.5,0.03125,0.03125,0.03125,0.03125,0.0625,0.0625,0.28125,0.40625,0.6875,0.84375,0.84375,0.75,0.625,0.65625,0.59375,0.375,0.375,0.28125,0.21875,0.25,0.1875,0.28125,0.25,0.3125
