Damian Lillard,1.0,35.68,0.9146341463414634,0.9146341463414634,0.9146341463414634,0.9146341463414634,0.9146341463414634,0.9146341463414634,0.9024390243902439,0.9024390243902439,0.8902439024390244,0.8536585365853658,0.8292682926829268,0.6951219512195121,0.036585365853658534,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.0975609756097561,0.2682926829268293,0.573170731707317,0.8780487804878049,0.9024390243902439,0.9146341463414634,0.9024390243902439,0.8780487804878049,0.9146341463414634,0.9146341463414634,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.8780487804878049,0.8658536585365854,0.7073170731707317,0.5609756097560976,0.5121951219512195,0.14634146341463414,0.18292682926829268,0.21951219512195122,0.43902439024390244,0.5853658536585366,0.6951219512195121,0.7439024390243902,0.7439024390243902,0.7317073170731707,0.6829268292682927,0.6463414634146342,0.5609756097560976
C.J. McCollum,1.0,34.75,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9512195121951219,0.7073170731707317,0.2926829268292683,0.12195121951219512,0.13414634146341464,0.15853658536585366,0.3170731707317073,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9146341463414634,0.8658536585365854,0.7560975609756098,0.524390243902439,0.3170731707317073,0.4024390243902439,0.5853658536585366,0.7439024390243902,0.8658536585365854,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9390243902439024,0.7439024390243902,0.4634146341463415,0.3170731707317073,0.34146341463414637,0.5,0.5365853658536586,0.7682926829268293,0.7560975609756098,0.8048780487804879,0.7682926829268293,0.6829268292682927,0.6951219512195121,0.7073170731707317,0.7439024390243902,0.7560975609756098,0.7073170731707317,0.6463414634146342,0.573170731707317
Al-Farouq Aminu,1.0,28.548780487804876,1.0,0.9878048780487805,0.9878048780487805,0.975609756097561,0.975609756097561,0.926829268292683,0.8902439024390244,0.7073170731707317,0.3780487804878049,0.0975609756097561,0.08536585365853659,0.04878048780487805,0.07317073170731707,0.0975609756097561,0.12195121951219512,0.15853658536585366,0.34146341463414637,0.5,0.7195121951219512,0.8658536585365854,0.9024390243902439,0.9146341463414634,0.9024390243902439,0.8170731707317073,1.0,1.0,1.0,1.0,0.9878048780487805,0.9634146341463414,0.8780487804878049,0.6463414634146342,0.35365853658536583,0.25609756097560976,0.12195121951219512,0.15853658536585366,0.17073170731707318,0.18292682926829268,0.2804878048780488,0.3780487804878049,0.4634146341463415,0.524390243902439,0.6097560975609756,0.6219512195121951,0.6219512195121951,0.6097560975609756,0.573170731707317,0.47560975609756095
Noah Vonleh,0.717948717948718,15.051282051282051,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6585365853658537,0.5487804878048781,0.25609756097560976,0.15853658536585366,0.17073170731707318,0.2073170731707317,0.2073170731707317,0.23170731707317074,0.23170731707317074,0.1951219512195122,0.1951219512195122,0.18292682926829268,0.18292682926829268,0.17073170731707318,0.10975609756097561,0.08536585365853659,0.13414634146341464,0.12195121951219512,0.07317073170731707,0.6707317073170732,0.6707317073170732,0.6707317073170732,0.6585365853658537,0.5853658536585366,0.5,0.43902439024390244,0.2682926829268293,0.18292682926829268,0.10975609756097561,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.08536585365853659,0.07317073170731707,0.0975609756097561,0.12195121951219512,0.14634146341463414,0.15853658536585366,0.1951219512195122,0.25609756097560976,0.2926829268292683,0.3170731707317073
Mason Plumlee,1.0,25.414634146341463,1.0,1.0,1.0,1.0,0.9512195121951219,0.9390243902439024,0.9024390243902439,0.6097560975609756,0.3170731707317073,0.06097560975609756,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.036585365853658534,0.07317073170731707,0.08536585365853659,0.18292682926829268,0.3780487804878049,0.6829268292682927,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.8902439024390244,0.7926829268292683,0.9878048780487805,0.9878048780487805,0.975609756097561,0.926829268292683,0.9146341463414634,0.8780487804878049,0.7560975609756098,0.5609756097560976,0.23170731707317074,0.12195121951219512,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.17073170731707318,0.23170731707317074,0.34146341463414637,0.5121951219512195,0.5487804878048781,0.5365853658536586,0.524390243902439,0.4878048780487805,0.45121951219512196,0.34146341463414637
Allen Crabbe,0.09876543209876543,25.987654320987655,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.12195121951219512,0.36585365853658536,0.7560975609756098,0.926829268292683,0.926829268292683,0.9146341463414634,0.9146341463414634,0.8780487804878049,0.8658536585365854,0.8292682926829268,0.7804878048780488,0.6463414634146342,0.573170731707317,0.4878048780487805,0.4146341463414634,0.36585365853658536,0.3902439024390244,0.35365853658536583,0.43902439024390244,0.0975609756097561,0.0975609756097561,0.10975609756097561,0.12195121951219512,0.12195121951219512,0.15853658536585366,0.3780487804878049,0.7439024390243902,0.8902439024390244,0.9390243902439024,0.926829268292683,0.9024390243902439,0.8658536585365854,0.8536585365853658,0.7682926829268293,0.6463414634146342,0.5609756097560976,0.4878048780487805,0.5121951219512195,0.5487804878048781,0.5487804878048781,0.5853658536585366,0.5365853658536586,0.5853658536585366
Meyers Leonard,0.16393442622950818,21.852459016393443,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.13414634146341464,0.14634146341463414,0.2682926829268293,0.524390243902439,0.5975609756097561,0.6219512195121951,0.5975609756097561,0.573170731707317,0.5487804878048781,0.5121951219512195,0.5,0.524390243902439,0.43902439024390244,0.3902439024390244,0.3048780487804878,0.24390243902439024,0.21951219512195122,0.1951219512195122,0.1951219512195122,0.2682926829268293,0.10975609756097561,0.10975609756097561,0.10975609756097561,0.13414634146341464,0.18292682926829268,0.1951219512195122,0.25609756097560976,0.3780487804878049,0.4878048780487805,0.5365853658536586,0.5487804878048781,0.524390243902439,0.5,0.5,0.47560975609756095,0.43902439024390244,0.36585365853658536,0.3170731707317073,0.2804878048780488,0.2804878048780488,0.2682926829268293,0.24390243902439024,0.2682926829268293,0.36585365853658536
Ed Davis,0.0,20.790123456790123,0.0,0.0,0.0,0.0,0.036585365853658534,0.04878048780487805,0.0975609756097561,0.4024390243902439,0.6829268292682927,0.9390243902439024,0.9634146341463414,0.9512195121951219,0.975609756097561,0.9634146341463414,0.926829268292683,0.8902439024390244,0.7926829268292683,0.6219512195121951,0.36585365853658536,0.15853658536585366,0.14634146341463414,0.12195121951219512,0.13414634146341464,0.15853658536585366,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.04878048780487805,0.06097560975609756,0.12195121951219512,0.18292682926829268,0.4024390243902439,0.6951219512195121,0.8170731707317073,0.8658536585365854,0.8658536585365854,0.8658536585365854,0.8658536585365854,0.7560975609756098,0.6829268292682927,0.5609756097560976,0.4268292682926829,0.36585365853658536,0.32926829268292684,0.24390243902439024,0.24390243902439024,0.24390243902439024,0.1951219512195122
Gerald Henderson,0.0,19.875,0.0,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.21951219512195122,0.45121951219512196,0.5975609756097561,0.6219512195121951,0.6341463414634146,0.6585365853658537,0.6707317073170732,0.7073170731707317,0.7195121951219512,0.7682926829268293,0.7317073170731707,0.5975609756097561,0.47560975609756095,0.4146341463414634,0.32926829268292684,0.25609756097560976,0.21951219512195122,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.08536585365853659,0.2682926829268293,0.47560975609756095,0.5853658536585366,0.6219512195121951,0.6463414634146342,0.6829268292682927,0.6951219512195121,0.6829268292682927,0.6707317073170732,0.6463414634146342,0.5853658536585366,0.45121951219512196,0.3048780487804878,0.24390243902439024,0.17073170731707318,0.15853658536585366,0.14634146341463414
Maurice Harkless,0.1794871794871795,18.67948717948718,0.17073170731707318,0.17073170731707318,0.17073170731707318,0.18292682926829268,0.18292682926829268,0.23170731707317074,0.23170731707317074,0.3048780487804878,0.3902439024390244,0.5121951219512195,0.524390243902439,0.5487804878048781,0.5853658536585366,0.5975609756097561,0.6097560975609756,0.5853658536585366,0.5365853658536586,0.45121951219512196,0.43902439024390244,0.45121951219512196,0.47560975609756095,0.35365853658536583,0.36585365853658536,0.36585365853658536,0.1951219512195122,0.1951219512195122,0.1951219512195122,0.2073170731707317,0.21951219512195122,0.24390243902439024,0.2926829268292683,0.32926829268292684,0.4268292682926829,0.4634146341463415,0.5,0.5,0.573170731707317,0.573170731707317,0.5,0.45121951219512196,0.4146341463414634,0.35365853658536583,0.3170731707317073,0.2926829268292683,0.3170731707317073,0.2804878048780488,0.2926829268292683,0.25609756097560976
